Datetime, Aggregationtime, Station, Lat, Lon, Alt, Qualityflag, Ta_200, P_container_NRT, SD
"1902-05","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx","NaN",91.0,"NaN"
"1902-06","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx","NaN",65.6,"NaN"
"1902-07","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx","NaN",58.0,"NaN"
"1902-08","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx","NaN",105.4,"NaN"
"1902-09","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx","NaN",44.7,"NaN"
"1902-10","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx","NaN",95.1,"NaN"
"1902-11","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx","NaN",8.1,"NaN"
"1902-12","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx","NaN",72.2,"NaN"
"1903-01","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx","NaN",33.6,"NaN"
"1903-02","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx","NaN",17.0,"NaN"
"1903-03","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx","NaN",27.0,"NaN"
"1903-04","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",3.0,64.1,"NaN"
"1903-05","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",11.2,35.5,"NaN"
"1903-06","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",13.8,93.9,"NaN"
"1903-07","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",14.6,109.1,"NaN"
"1903-08","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",14.4,138.8,"NaN"
"1903-09","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",12.2,57.3,"NaN"
"1903-10","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",8.4,82.3,"NaN"
"1903-11","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",2.5,103.3,"NaN"
"1903-12","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-2.7,10.5,"NaN"
"1904-01","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-3.1,54.2,"NaN"
"1904-02","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-0.3,127.1,"NaN"
"1904-03","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",2.3,26.0,"NaN"
"1904-04","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",7.4,68.6,"NaN"
"1904-05","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx","NaN",118.4,"NaN"
"1904-06","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx","NaN",73.3,"NaN"
"1904-07","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx","NaN",26.0,"NaN"
"1904-08","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx","NaN",78.0,"NaN"
"1904-09","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx","NaN",164.9,"NaN"
"1904-10","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx","NaN",41.5,"NaN"
"1904-11","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx","NaN",50.1,"NaN"
"1904-12","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx","NaN",21.0,"NaN"
"1905-01","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-4.5,68.5,"NaN"
"1905-02","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-1.0,48.5,"NaN"
"1905-03","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",3.4,98.7,"NaN"
"1905-04","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",5.1,75.4,"NaN"
"1905-05","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",10.2,40.8,"NaN"
"1905-06","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",14.8,64.9,"NaN"
"1905-07","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",17.4,100.7,"NaN"
"1905-08","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",15.1,125.8,"NaN"
"1905-09","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",11.8,89.2,"NaN"
"1905-10","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",1.9,99.4,"NaN"
"1905-11","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",1.7,63.8,"NaN"
"1905-12","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-0.6,52.7,"NaN"
"1906-01","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-1.0,63.0,"NaN"
"1906-02","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-2.2,54.0,"NaN"
"1906-03","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",0.7,85.0,"NaN"
"1906-04","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",6.3,33.0,"NaN"
"1906-05","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",11.1,136.0,"NaN"
"1906-06","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",13.1,177.0,"NaN"
"1906-07","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",16.6,134.0,"NaN"
"1906-08","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",15.6,61.0,"NaN"
"1906-09","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",10.0,54.0,"NaN"
"1906-10","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",9.2,19.0,"NaN"
"1906-11","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",3.8,50.0,"NaN"
"1906-12","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-4.7,89.0,"NaN"
"1907-01","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-2.0,62.0,"NaN"
"1907-02","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-3.5,83.0,"NaN"
"1907-03","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",0.7,80.0,"NaN"
"1907-04","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",4.8,42.0,"NaN"
"1907-05","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",12.4,33.0,"NaN"
"1907-06","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",14.0,82.0,"NaN"
"1907-07","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",14.1,111.0,"NaN"
"1907-08","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",15.6,38.0,"NaN"
"1907-09","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",13.2,43.0,"NaN"
"1907-10","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",9.5,32.0,"NaN"
"1907-11","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",3.2,12.0,"NaN"
"1907-12","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",0.4,47.0,"NaN"
"1908-01","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-4.7,18.0,"NaN"
"1908-02","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-1.3,63.0,"NaN"
"1908-03","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",0.7,35.0,"NaN"
"1908-04","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",4.3,67.0,"NaN"
"1908-05","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",12.1,89.0,"NaN"
"1908-06","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",16.5,43.0,"NaN"
"1908-07","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",15.8,89.0,"NaN"
"1908-08","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",13.3,75.0,"NaN"
"1908-09","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",10.6,80.0,"NaN"
"1908-10","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",6.2,0.0,"NaN"
"1908-11","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",0.2,44.0,"NaN"
"1908-12","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-1.8,25.0,"NaN"
"1909-01","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-4.0,33.0,"NaN"
"1909-02","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-4.8,9.0,"NaN"
"1909-03","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",0.7,15.0,"NaN"
"1909-04","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",7.3,28.0,"NaN"
"1909-05","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",10.4,48.0,"NaN"
"1909-06","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",12.8,162.0,"NaN"
"1909-07","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",14.1,121.0,"NaN"
"1909-08","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",15.6,36.0,"NaN"
"1909-09","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",11.8,60.0,"NaN"
"1909-10","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",8.8,62.0,"NaN"
