Datetime, Aggregationtime, Station, lat, lon, alt, Qualityflag, Ta_200, P_RT_NRT, SD
1905-03,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,5.3,37.0,NaN
1905-04,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,6.2,65.4,NaN
1905-05,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,12.8,41.8,NaN
1905-06,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,17.7,97.4,NaN
1905-07,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,18.9,114.3,NaN
1905-08,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,16.8,36.8,NaN
1905-09,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,12.7,56.5,NaN
1905-10,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,5.2,114.4,NaN
1905-11,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,3.4,44.6,NaN
1905-12,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,1.9,13.1,NaN
1906-01,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,2.2,48.0,NaN
1906-02,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,1.4,51.0,NaN
1906-03,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,3.0,89.0,NaN
1906-04,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,8.5,31.0,NaN
1906-05,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,13.7,98.0,NaN
1906-06,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,14.9,106.0,NaN
1906-07,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,16.9,143.0,NaN
1906-08,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,16.2,82.0,NaN
1906-09,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,12.3,61.0,NaN
1906-10,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,10.6,21.0,NaN
1906-11,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,7.0,40.0,NaN
